timestamp,value
datetime,int
T,
2015-07-10 18:09:48,47
2015-07-10 18:39:48,39
2015-07-10 19:09:48,47
2015-07-10 19:39:48,43
2015-07-10 20:09:48,35
2015-07-10 20:39:48,46
2015-07-10 21:09:48,47
2015-07-10 21:39:48,45
2015-07-10 22:09:48,45
2015-07-10 22:39:48,64
2015-07-10 23:09:48,89
2015-07-10 23:39:48,124
2015-07-11 00:09:48,63
2015-07-11 00:39:48,56
2015-07-11 01:09:48,53
2015-07-11 01:39:48,35
2015-07-11 02:09:48,23
2015-07-11 02:39:48,28
2015-07-11 03:09:48,28
2015-07-11 03:39:48,36
2015-07-11 04:09:48,19
2015-07-11 04:39:48,25
2015-07-11 05:09:48,18
2015-07-11 05:39:48,17
2015-07-11 06:09:48,9
2015-07-11 06:39:48,18
2015-07-11 07:09:48,7
2015-07-11 07:39:48,17
2015-07-11 08:09:48,15
2015-07-11 08:39:48,20
2015-07-11 09:09:48,16
2015-07-11 09:39:48,30
2015-07-11 10:09:48,25
2015-07-11 10:39:48,24
2015-07-11 11:09:48,26
2015-07-11 11:39:48,24
2015-07-11 12:09:48,26
2015-07-11 12:39:48,31
2015-07-11 13:09:48,32
2015-07-11 13:39:48,33
2015-07-11 14:09:48,23
2015-07-11 14:39:48,33
2015-07-11 15:09:48,39
2015-07-11 15:39:48,32
2015-07-11 16:09:48,45
2015-07-11 16:39:48,27
2015-07-11 17:09:48,41
2015-07-11 17:39:48,43
2015-07-11 18:09:48,48
2015-07-11 18:39:48,32
2015-07-11 19:09:48,41
2015-07-11 19:39:48,55
2015-07-11 20:09:48,46
2015-07-11 20:39:48,41
2015-07-11 21:09:48,47
2015-07-11 21:39:48,54
2015-07-11 22:09:48,47
2015-07-11 22:39:48,66
2015-07-11 23:09:48,101
2015-07-11 23:39:48,102
2015-07-12 00:09:48,68
2015-07-12 00:39:48,36
2015-07-12 01:09:48,28
2015-07-12 01:39:48,35
2015-07-12 02:09:48,31
2015-07-12 02:39:48,24
2015-07-12 03:09:48,26
2015-07-12 03:39:48,26
2015-07-12 04:09:48,22
2015-07-12 04:39:48,22
2015-07-12 05:09:48,9
2015-07-12 05:39:48,12
2015-07-12 06:09:48,11
2015-07-12 06:39:48,8
2015-07-12 07:09:48,13
2015-07-12 07:39:48,20
2015-07-12 08:09:48,15
2015-07-12 08:39:48,19
2015-07-12 09:09:48,25
2015-07-12 09:39:48,28
2015-07-12 10:09:48,30
2015-07-12 10:39:48,17
2015-07-12 11:09:48,32
2015-07-12 11:39:48,31
2015-07-12 12:09:48,35
2015-07-12 12:39:48,27
2015-07-12 13:09:48,38
2015-07-12 13:39:48,24
2015-07-12 14:09:48,32
2015-07-12 14:39:48,40
2015-07-12 15:09:48,33
2015-07-12 15:39:48,30
2015-07-12 16:09:48,21
2015-07-12 16:39:48,46
2015-07-12 17:09:48,35
2015-07-12 17:39:48,53
2015-07-12 18:09:48,38
2015-07-12 18:39:48,33
2015-07-12 19:09:48,38
2015-07-12 19:39:48,34
2015-07-12 20:09:48,38
2015-07-12 20:39:48,34
2015-07-12 21:09:48,38
2015-07-12 21:39:48,35
2015-07-12 22:09:48,31
2015-07-12 22:39:48,60
2015-07-12 23:09:48,66
2015-07-12 23:39:48,82
2015-07-13 00:09:48,50
2015-07-13 00:39:48,39
2015-07-13 01:09:48,24
2015-07-13 01:39:48,34
2015-07-13 02:09:48,16
2015-07-13 02:39:48,19
2015-07-13 03:09:48,23
2015-07-13 03:39:48,16
2015-07-13 04:09:48,11
2015-07-13 04:39:48,12
2015-07-13 05:09:48,6
2015-07-13 05:39:48,10
2015-07-13 06:09:48,14
2015-07-13 06:39:48,14
2015-07-13 07:09:48,9
2015-07-13 07:39:48,20
2015-07-13 08:09:48,15
2015-07-13 08:39:48,34
2015-07-13 09:09:48,32
2015-07-13 09:39:48,27
2015-07-13 10:09:48,40
2015-07-13 10:39:48,42
2015-07-13 11:09:48,40
2015-07-13 11:39:48,54
2015-07-13 12:09:48,36
2015-07-13 12:39:48,39
2015-07-13 13:09:48,32
2015-07-13 13:39:48,36
2015-07-13 14:09:48,44
2015-07-13 14:39:48,40
2015-07-13 15:09:48,41
2015-07-13 15:39:48,38
2015-07-13 16:09:48,43
2015-07-13 16:39:48,69
2015-07-13 17:09:48,41
2015-07-13 17:57:17,46
2015-07-13 18:27:17,36
2015-07-13 18:57:17,32
2015-07-13 19:27:17,38
2015-07-13 19:57:17,39
2015-07-13 20:27:17,31
2015-07-13 20:57:17,32
2015-07-13 21:27:17,34
2015-07-13 21:57:17,38
2015-07-13 22:27:17,42
2015-07-13 22:57:17,76
2015-07-13 23:27:17,85
2015-07-13 23:57:17,42
2015-07-14 00:27:17,43
2015-07-14 00:57:17,32
2015-07-14 01:27:17,28
2015-07-14 01:57:17,18
2015-07-14 02:27:17,24
2015-07-14 02:57:17,20
2015-07-14 03:27:17,15
2015-07-14 03:57:17,16
2015-07-14 04:27:17,10
2015-07-14 04:57:17,8
2015-07-14 05:27:17,10
2015-07-14 05:57:17,6
2015-07-14 06:27:17,11
2015-07-14 06:57:17,12
2015-07-14 07:27:17,23
2015-07-14 07:57:17,25
2015-07-14 08:27:17,23
2015-07-14 08:57:17,32
2015-07-14 09:27:17,24
2015-07-14 09:57:17,56
2015-07-14 10:27:17,47
2015-07-14 10:57:17,40
2015-07-14 11:27:17,51
2015-07-14 11:57:17,45
2015-07-14 12:27:17,41
2015-07-14 12:57:17,40
2015-07-14 13:27:17,53
2015-07-14 13:57:17,54
2015-07-14 14:27:17,51
2015-07-14 14:57:17,52
2015-07-14 15:27:17,48
2015-07-14 15:57:17,44
2015-07-14 16:27:17,38
2015-07-14 16:57:17,58
2015-07-14 17:27:17,48
2015-07-14 17:57:17,47
2015-07-14 18:27:17,41
2015-07-14 18:57:17,50
2015-07-14 19:27:17,54
2015-07-14 19:57:17,38
2015-07-14 20:27:17,38
2015-07-14 20:57:17,39
2015-07-14 21:27:17,37
